prime one length (bin digits), 389
prime two length (bin digits), 661
modulus - n length (bin Digits), 1049
phi(n) length (bin digits), 1049
random seed used, 665
message length (bin digits), encryption time (seconds), decryption time (seconds)
156, 0.235956, 0.40134
32, 0.232005, 0.400948
159, 0.239025, 0.400107
179, 0.23546, 0.4003
24, 0.232409, 0.39964
108, 0.233896, 0.399281
15, 0.230721, 0.400619
27, 0.231817, 0.39931
49, 0.233271, 0.402477
195, 0.279974, 0.401175
189, 0.235368, 0.40091
180, 0.235481, 0.400504
58, 0.233823, 0.39926
194, 0.235576, 0.401116
20, 0.26198, 0.399661
95, 0.23389, 0.401637
39, 0.23236, 0.40056
117, 0.23458, 0.399969
99, 0.234978, 0.4
95, 0.233937, 0.399537
161, 0.235108, 0.401572
160, 0.234982, 0.399463
116, 0.234604, 0.401035
3, 0.229286, 0.400543
131, 0.235027, 0.399826
92, 0.23378, 0.400926
86, 0.234034, 0.400055
7, 0.230435, 0.400799
39, 0.231564, 0.399328
193, 0.234949, 0.400331
108, 0.234543, 0.399722
147, 0.235609, 0.399049
66, 0.233268, 0.429038
94, 0.233483, 0.399896
100, 0.23477, 0.400485
131, 0.236403, 0.39931
60, 0.232633, 0.403666
170, 0.234763, 0.399991
40, 0.232645, 0.400873
190, 0.235617, 0.399576
65, 0.232782, 0.400051
118, 0.235088, 0.399863
160, 0.23522, 0.400008
15, 0.230366, 0.400861
58, 0.232009, 0.39935
65, 0.233823, 0.40011
182, 0.236161, 0.400427
103, 0.23445, 0.399718
172, 0.235769, 0.400466
171, 0.235306, 0.400142
33, 0.231855, 0.401233
57, 0.258299, 0.399979
120, 0.234755, 0.400875
98, 0.234249, 0.400028
107, 0.234642, 0.39922
116, 0.23482, 0.399661
42, 0.231324, 0.400224
72, 0.234715, 0.401583
138, 0.235815, 0.401645
85, 0.232851, 0.401481
26, 0.230517, 0.399706
11, 0.230624, 0.399995
99, 0.233606, 0.4011
58, 0.23229, 0.40012
78, 0.234447, 0.400374
108, 0.235159, 0.399322
42, 0.231627, 0.400199
168, 0.2352, 0.399269
166, 0.236458, 0.400116
184, 0.235183, 0.400293
139, 0.234914, 0.400275
173, 0.235692, 0.400671
182, 0.235192, 0.400545
138, 0.235615, 0.400245
21, 0.230835, 0.399089
63, 0.232566, 0.400517
48, 0.233321, 0.399504
47, 0.232666, 0.399887
186, 0.235254, 0.400784
68, 0.23246, 0.400054
199, 0.236136, 0.399662
113, 0.235476, 0.399248
16, 0.230604, 0.400486
159, 0.235192, 0.399225
13, 0.230196, 0.400336
188, 0.235632, 0.400485
11, 0.229447, 0.400332
186, 0.235832, 0.399624
94, 0.260028, 0.406241
148, 0.235331, 0.400649
81, 0.233757, 0.400573
94, 0.234501, 0.40012
51, 0.232267, 0.400113
5, 0.228494, 0.400005
52, 0.233014, 0.401273
93, 0.235219, 0.400531
72, 0.234503, 0.400429
42, 0.231986, 0.402072
83, 0.233422, 0.401446
128, 0.235256, 0.400258
70, 0.23339, 0.399047
183, 0.235848, 0.4004
25, 0.230938, 0.399306
113, 0.235251, 0.401242
146, 0.236043, 0.39942
182, 0.235045, 0.401226
164, 0.236174, 0.448642
59, 0.233739, 0.399574
20, 0.231072, 0.399379
134, 0.234783, 0.400316
72, 0.234676, 0.400416
21, 0.230438, 0.399625
193, 0.235334, 0.400916
167, 0.234786, 0.399527
42, 0.23328, 0.399668
34, 0.232052, 0.400339
65, 0.232529, 0.399987
55, 0.232184, 0.40019
134, 0.235555, 0.400056
44, 0.231919, 0.400385
193, 0.235774, 0.399604
40, 0.23156, 0.400145
129, 0.235566, 0.39937
132, 0.23522, 0.399545
98, 0.234336, 0.400024
128, 0.234798, 0.399853
167, 0.236469, 0.400562
44, 0.23308, 0.399723
113, 0.234128, 0.401342
144, 0.235013, 0.399641
70, 0.236279, 0.399708
37, 0.231222, 0.403807
53, 0.232027, 0.400777
110, 0.235373, 0.401023
25, 0.231779, 0.399333
65, 0.233111, 0.401874
84, 0.233704, 0.399986
99, 0.234414, 0.405366
134, 0.23611, 0.399098
123, 0.234485, 0.401326
118, 0.235181, 0.400701
69, 0.232962, 0.401203
64, 0.232744, 0.400484
114, 0.234525, 0.427031
176, 0.235579, 0.40026
109, 0.235026, 0.400659
182, 0.236066, 0.39895
161, 0.235439, 0.399992
179, 0.23471, 0.400073
2, 0.228485, 0.400873
163, 0.234772, 0.400039
34, 0.231375, 0.400566
