message length (char), 200
random seed used, 665
prime one length (bin digits), prime two length (bin digits), modulus - n length (bin Digits, phi(n) length (bin digits), encryption time (seconds), decryption time (seconds)
389, 661, 1049, 1049,0.235463, 0.398924
565, 482, 1046, 1046,0.339372, 0.290811
650, 434, 1083, 1083,0.413748, 0.280371
513, 529, 1041, 1041,0.302129, 0.312386
556, 447, 1002, 1002,0.308701, 0.245826
591, 337, 927, 927,0.276257, 0.159049
579, 407, 985, 985,0.311223, 0.217164
476, 347, 822, 822,0.180539, 0.132851
442, 621, 1062, 1062,0.276371, 0.384234
397, 450, 846, 846,0.156483, 0.178936
415, 419, 833, 833,0.157603, 0.158641
391, 568, 958, 958,0.198176, 0.283374
344, 369, 712, 712,0.100381, 0.106571
466, 636, 1101, 1101,0.308086, 0.417405
604, 445, 1048, 1048,0.361452, 0.268462
472, 381, 852, 852,0.19302, 0.156405
413, 642, 1054, 1054,0.25063, 0.384473
334, 636, 969, 969,0.175479, 0.329287
459, 498, 956, 956,0.22924, 0.249645
395, 598, 992, 992,0.212937, 0.320215
662, 595, 1256, 1256,0.587562, 0.510404
586, 650, 1235, 1235,0.51274, 0.598111
447, 495, 941, 941,0.219627, 0.243863
404, 397, 800, 800,0.14254, 0.142162
387, 363, 749, 749,0.121403, 0.115563
494, 399, 892, 892,0.220188, 0.177981
476, 406, 881, 881,0.276203, 0.215419
624, 417, 1040, 1040,0.374185, 0.250784
427, 397, 823, 823,0.168249, 0.15259
617, 462, 1078, 1078,0.413158, 0.301929
369, 389, 757, 757,0.121897, 0.133984
363, 439, 801, 801,0.130935, 0.156311
598, 534, 1131, 1131,0.422209, 0.375751
365, 465, 829, 829,0.148415, 0.215304
536, 570, 1105, 1105,0.360656, 0.382595
576, 651, 1226, 1226,0.474373, 0.537897
649, 495, 1143, 1143,0.466749, 0.353704
498, 427, 924, 924,0.23275, 0.200643
448, 485, 932, 932,0.261053, 0.253196
521, 447, 967, 967,0.271789, 0.233605
401, 385, 785, 785,0.13876, 0.131775
610, 529, 1138, 1138,0.429055, 0.370861
666, 473, 1138, 1138,0.469644, 0.335084
518, 490, 1007, 1007,0.286894, 0.271902
661, 553, 1213, 1213,0.528375, 0.440478
537, 385, 921, 921,0.252663, 0.179749
536, 533, 1068, 1068,0.333684, 0.331553
523, 509, 1031, 1031,0.30544, 0.298036
361, 472, 832, 832,0.138444, 0.18137
425, 599, 1023, 1023,0.24152, 0.341241
466, 560, 1025, 1025,0.277029, 0.328127
351, 551, 901, 901,0.162873, 0.254814
603, 449, 1051, 1051,0.361719, 0.270374
368, 382, 749, 749,0.117139, 0.121671
586, 658, 1243, 1243,0.51956, 0.558477
651, 395, 1045, 1045,0.391726, 0.237374
657, 637, 1293, 1293,0.594183, 0.572628
351, 418, 768, 768,0.11717, 0.137687
438, 598, 1035, 1035,0.260749, 0.350947
374, 397, 770, 770,0.124382, 0.131289
568, 401, 968, 968,0.29471, 0.209738
397, 642, 1038, 1038,0.236072, 0.378196
387, 598, 984, 984,0.20816, 0.317556
556, 495, 1050, 1050,0.447418, 0.407575
362, 640, 1001, 1001,0.20413, 0.383435
664, 653, 1316, 1316,0.64608, 0.629474
344, 416, 759, 759,0.114288, 0.136615
426, 339, 764, 764,0.139389, 0.111059
394, 517, 910, 910,0.180573, 0.235276
366, 348, 713, 713,0.107487, 0.101489
350, 381, 730, 730,0.10572, 0.115893
591, 543, 1133, 1133,0.412627, 0.378678
482, 510, 991, 991,0.260415, 0.275921
417, 628, 1044, 1044,0.251212, 0.375722
403, 624, 1026, 1026,0.233698, 0.357854
504, 548, 1051, 1051,0.302067, 0.328472
647, 651, 1297, 1297,0.582312, 0.578736
384, 436, 819, 819,0.145793, 0.16307
525, 452, 976, 976,0.276187, 0.235818
476, 587, 1062, 1062,0.294136, 0.36187
636, 616, 1251, 1251,0.536247, 0.522551
558, 650, 1207, 1207,0.442352, 0.513448
447, 395, 841, 841,0.176097, 0.157585
617, 411, 1027, 1027,0.356866, 0.238591
436, 642, 1077, 1077,0.276521, 0.41248
521, 570, 1090, 1090,0.345483, 0.379476
337, 417, 753, 753,0.10886, 0.133737
466, 599, 1064, 1064,0.291702, 0.374462
559, 443, 1001, 1001,0.309996, 0.246896
577, 448, 1024, 1024,0.328765, 0.255871
342, 411, 752, 752,0.109415, 0.133195
526, 506, 1031, 1031,0.307583, 0.298347
369, 572, 940, 940,0.178906, 0.277253
647, 557, 1203, 1203,0.511382, 0.439603
488, 615, 1102, 1102,0.324304, 0.403253
352, 654, 1005, 1005,0.196389, 0.361313
610, 597, 1206, 1206,0.483893, 0.469955
535, 448, 982, 982,0.288244, 0.238762
463, 584, 1046, 1046,0.280719, 0.353499
575, 466, 1040, 1040,0.340073, 0.275873
458, 370, 827, 827,0.173765, 0.14092
373, 658, 1030, 1030,0.221516, 0.389363
574, 645, 1218, 1218,0.457282, 0.515876
570, 626, 1195, 1195,0.43882, 0.48343
607, 382, 988, 988,0.325073, 0.205545
654, 593, 1246, 1246,0.545216, 0.49372
373, 351, 723, 723,0.111078, 0.106439
521, 396, 916, 916,0.244043, 0.186116
